Name,Magnitude
Aboras       ,4.208
             ,4.177
             ,5.017
             ,4.34
             ,5.43
             ,4.5
             ,5.124
Alrischa     ,3.82
Alrescha     ,3.82
Al Rescha     ,3.82
Fum Alsamakah,4.52
Samakah      ,4.52
Simmah       ,3.7
Linteum      ,4.44
Kaht         ,4.28
Revati       ,5.187
Revati       ,5.187
Al Pherg     ,3.62
             ,4.3
             ,4.12
             ,4.94
             ,4.51
             ,4.44
             ,4.604
Torcularis Septentrionalis,4.26
Torcular     ,4.26
             ,5.535
Anunitum     ,4.511
             ,4.748
             ,4.66
             ,4.658
Vernalis    ,4.012
             ,5.069
             ,5.02
Naos         ,2.25
Suhail Hadar ,2.25
Kaimana      ,3.17
Azmidiske    ,3.3
Ahadi        ,2.7
Turais       ,2.81
Tureis       ,2.81
             ,3.25
Al Rihla     ,2.93
Rehla        ,2.93
Anazitisi    ,2.93
             ,4.63
             ,4.11
             ,4.5
             ,4.24
             ,3.68
             ,3.954
             ,4.01
             ,5.593
             ,4.72
             ,3.36
             ,3.85
             ,4.5
             ,4.57
             ,4.44
           ,5.54
             ,5.24
             ,4.956
             ,4.71
             ,5.256
             ,4.27
             ,4.37
             ,4.406
             ,4.57
             ,5.31
             ,5.239
           ,5.404
           ,5.96
             ,5.303
             ,5.501
Antares      ,0.91
Jyeshtha     ,0.91
Graffias   ,2.62
Akrab      ,2.62
Acrab      ,2.62
           ,4.89
Aculeus     ,4.2
Acumen      ,3.3
Dschubba     ,2.32
Anuradha     ,2.32
Wei          ,2.29
Larawag      ,2.29
             ,3.62
             ,3.33
Sargas       ,1.862
             ,2.992
Girtab       ,2.386
Shaula       ,1.62
Mula         ,1.62
Xamidimura   ,2.98
Jabbah       ,4.0
Grafias      ,4.17
Fang         ,2.91
Iklil        ,3.86
Alniyat      ,2.89
             ,2.81
Lesath       ,2.7
Jabhat al Akrab,3.97
Jabhat al Akrab,4.33
Fuyue       ,3.21
Pipirima    ,3.542
             ,3.83
             ,4.22
             ,4.675
             ,4.71
             ,4.889
             ,4.664
Unukalhai    ,2.63
Cor Serpentis,2.63
Chow         ,3.67
Zhou         ,3.67
Ainalhai     ,3.84
Qin          ,3.79
Chin         ,3.79
Nulla Pambu  ,3.693
Tang         ,3.25
Alya       ,4.62
             ,4.09
Leiolepis    ,3.53
Leiolepidotus,3.53
             ,4.324
Nehushtan    ,3.519
             ,4.228
             ,4.817
           ,5.17
             ,4.49
             ,5.1
             ,5.107
             ,5.18
             ,5.24
Sham         ,4.38
             ,4.38
             ,3.47
             ,3.82
Rukbat       ,3.943
Arkab Prior,4.01
Arkab Posterior,4.27
Alnasl     ,2.99
Alnasl     ,2.99
Nash       ,2.99
Kaus Media   ,2.668
Kaus Meridionalis,2.668
Purvashadha  ,2.668
Kaus Australis,1.85
Ascella      ,2.585
Sephdar      ,3.11
Ira Furoris  ,3.11
           ,4.37
           ,5.299
             ,4.13
           ,5.59
Kaus Borealis,2.81
Polis        ,3.85
Ainalrami,4.845
Ain al Rami,4.845
           ,3.51
Manubrium   ,3.77
Albaldah     ,2.88
Nunki        ,2.067
Uttarashadha ,2.067
Hecatebolus  ,3.31
Nanto        ,3.14
             ,4.61
Terebellium ,4.7
Gal. Center,999.99
Galactic Center,999.99
Galactic Center,999.99
Facies     ,6.17
Spiculum     ,4.6
             ,4.598
             ,4.528
             ,4.58
Aldebaran    ,0.86
Elnath       ,1.65
El Nath       ,1.65
Alnath       ,1.65
Prima Hyadum ,3.65
Hyadum I     ,3.65
Secunda Hyadum,3.76
Secunda Hyadum,3.76
Hyadum II  ,3.76
Ain          ,3.53
Al Hecka     ,3.03
Tianguan     ,3.03
Alcyone      ,2.87
Krttika      ,2.87
Phaeo        ,3.84
Phaesula     ,3.41
Chamukuy     ,3.41
             ,4.61
Althaur      ,3.41
Kattupothu   ,4.279
Furibundus   ,3.883
Ushakaron    ,3.75
Atirsagne   ,3.6
             ,4.258
             ,4.65
          ,5.504
Celaeno      ,5.46
Celeano      ,5.46
Electra      ,3.7
Taygeta      ,4.3
Maia         ,3.87
Asterope     ,5.76
Sterope I    ,5.76
Sterope II   ,6.421
Merope       ,4.18
Atlas        ,3.63
Pleione      ,5.09
             ,3.463
             ,4.508
             ,4.13
             ,4.879
             ,4.838
             ,5.33
             ,4.94
Atria        ,1.92
             ,2.85
             ,2.89
             ,3.839
             ,4.104
             ,4.91
Great Attractor,999.99
Ras Mutallah ,3.42
Metallah     ,3.42
Mothallah    ,3.42
             ,3.0
             ,4.0
             ,2.82
           ,4.514
             ,3.98
             ,4.47
             ,4.23
             ,5.342
           ,5.454
Dubhe        ,1.79
Kratu        ,1.79
Merak        ,2.37
Pulaha       ,2.37
Phecda       ,2.44
Pulastya     ,2.44
Megrez       ,3.32
Atri         ,3.32
